"subject" "activity" "mean"
27 "LAYING" -0.747039773104429
27 "SITTING" -0.738607565821911
27 "STANDING" -0.743828559458429
27 "WALKING" -0.315300610673124
27 "WALKING_DOWNSTAIRS" -0.180615867943192
27 "WALKING_UPSTAIRS" -0.368009684288904
28 "LAYING" -0.749711337306598
28 "SITTING" -0.731041115599865
28 "STANDING" -0.712417065277087
28 "WALKING" -0.313871992811888
28 "WALKING_DOWNSTAIRS" -0.139396563077246
28 "WALKING_UPSTAIRS" -0.323401541369843
29 "LAYING" -0.747047283845479
29 "SITTING" -0.739022156685121
29 "STANDING" -0.746979641390065
29 "WALKING" -0.256846692509308
29 "WALKING_DOWNSTAIRS" -0.178812689061223
29 "WALKING_UPSTAIRS" -0.231956730511577
30 "LAYING" -0.73371945664569
30 "SITTING" -0.732058477455571
30 "STANDING" -0.714291901922109
30 "WALKING" -0.267020565167016
30 "WALKING_DOWNSTAIRS" -0.217523391374438
30 "WALKING_UPSTAIRS" -0.33891298828135
